title,year,forid,,,,
Learning web service task descriptions from traces.,2012,899,,,,
Knowledge reuse for software reuse.,2008,899,,,,
Data forwarding mechanism based on node function and node centricity.,2019,899,,,,
Discovery of dependency relations in sequential data flow.,2017,899,,,,
On the stability of a dynamic stochastic capacity pricing scheme for resource allocation in a multi agent environment.,2005,899,,,,
A web navigation system based on a neural network user model trained with only positive web documents.,2004,899,,,,
Mining natural language answers from the web.,2004,899,,,,
Plan representation and execution in multi actor scenarios by means of social commitments.,2011,899,,,,
A functional data analysis approach for continuous 2 D emotion annotations.,2019,899,,,,
Modelling human emotion in interactive environments: Physiological ensemble and grounded approaches for synthetic agents.,2015,899,,,,
Incremental personalized web page mining utilizing self organizing HCMAC neural network.,2004,899,,,,
An architectural description language for secure Multi Agent Systems.,2010,899,,,,
Automatic Chinese character similarity measurement.,2018,899,,,,
Analyzing the performance of multiple agents with varying bidding behaviors and standard bidders in online auctions.,2013,899,,,,
Rank correlation analysis of RITE datasets and evaluation metrics   an observation on NTCIR 10 RITE Chinese subtasks.,2015,899,,,,
On the use of reduction relations to relate different types of agent models.,2011,899,,,,
Tracking millions of query intents with StarrySky and its applications.,2017,899,,,,
Selecting queries from sample to crawl deep web data sources.,2012,899,,,,
"Smart distance principle for ""sense and respond"" enterprise systems.",2003,899,,,,
"Virtual communities, a typology.",2017,899,,,,
Exploiting item item relations to improve review based rating prediction.,2018,899,,,,
Privacy preserving data release for tagging recommender systems.,2015,899,,,,
An obligation based framework for web service composition via agent conversations.,2012,899,,,,
Proxy ecology   Cooperative proxies with artificial life.,2004,899,,,,
Fine grained efficient resource allocation using approximated combinatorial auctionsA parallel greedy winner approximation for large scale problems.,2009,899,,,,
Preface.,2015,899,,,,
Factors to be considered in cloud computing adoption.,2016,899,,,,
Dynamic communities in referral networks.,2003,899,,,,
Exploiting Webspace organization for accelerating web prefetching.,2005,899,,,,
A new dissimilarity measure for online social networks moderation.,2013,899,,,,
Privacy conscious P2P data sharing scheme with bogus profile distribution.,2009,899,,,,
Mobile agents path planning based on an extension of Bug Algorithms and applied to the pursuit evasion game.,2017,899,,,,
Modelling social behavior with a socio psychological simulation approach.,2004,899,,,,
Qualitative preference based service selection for multiple agents.,2013,899,,,,
A document retrieval support system with term relationship.,2005,899,,,,
Solving coarse grained DisCSPs with local search.,2010,899,,,,
Robust estimation of a global Gaussian mixture by decentralized aggregations of local models.,2013,899,,,,
Controlling non normative behaviors by anticipation for autonomous agents.,2008,899,,,,
Finger gesture recognition using a smartwatch with integrated motion sensors.,2018,899,,,,
Review mining for estimating users' ratings and weights for product aspects.,2015,899,,,,
Towards improving the online shopping experience: A client based platform for post processing Web search results.,2012,899,,,,
The universal theory of passionarity.,2019,899,,,,
Automating facial emotion recognition.,2019,899,,,,
Agent based vs. population based simulation of displacement of crime: A comparative study.,2011,899,,,,
Spatial pattern growth and emergent animat segregation.,2010,899,,,,
Keyword auction protocol for dynamically adjusting the number of advertisements.,2010,899,,,,
Indexing method for transitive relationships of product information.,2011,899,,,,
Expectation of trading agent behaviour in negotiation of electronic marketplace.,2012,899,,,,
Model guided algorithm for mining unordered embedded subtrees.,2010,899,,,,
A system to support attention allocation: Development and application.,2012,899,,,,
Towards a tuplespace based middleware for the Semantic Web.,2008,899,,,,
Learning cooperative behavior for the shout ahead architecture.,2014,899,,,,
OntoStoria2: A shared representation and a web based tool for the collaboration of services providers.,2012,899,,,,
Impact of social influence on trust management within communities of agents.,2017,899,,,,
Research topics on web intelligence and communities.,2013,899,,,,
Multi mode Natural Language Processing for human robot interaction.,2015,899,,,,
Matching and retrieving sequential patterns using regression.,2005,899,,,,
Assisting web document retrieval with topic identification in tourism domain.,2015,899,,,,
Agent based problem solving methods in Big Data environment.,2014,899,,,,
Acquisition of a concession strategy in multi issue negotiation.,2009,899,,,,
"Tracking a leader's humility and its emotions from body, face and voice.",2019,899,,,,
A new swarm mechanism based on social spiders colonies: From web weaving to region detection.,2003,899,,,,
Special issue: Trust management.,2018,899,,,,
A multi agent system for decentralised fractional shared resource constraint scheduling.,2011,899,,,,
An approach to deriving a virtual thematic folksonomy based system from a social inter folksonomy based scenario.,2012,899,,,,
Multiagent meta level control for radar coordination.,2013,899,,,,
'You will be judged by the music I hear': A study on the influence of music on moral judgement.,2019,899,,,,
Identifying document topics using the Wikipedia category network.,2009,899,,,,
Leveraging sentiment analysis for topic detection.,2010,899,,,,
Predicting political conflicts from polarized social media.,2016,899,,,,
Investigating query bursts in a web search engine.,2013,899,,,,
On line coordination: Event interaction and state communication between cooperative agents.,2012,899,,,,
The importance of unexpectedness: Discovering buzzing stories in anomalous temporal graphs.,2019,899,,,,
Normative positions in multi agent systems.,2016,899,,,,
CooL AgentSpeak: Endowing AgentSpeak DL agents with plan exchange and ontology services.,2014,899,,,,
Comparing Service Oriented Computing and Agent Oriented Programming towards integration.,2011,899,,,,
Stress estimation in pedestrian crowds: Experimental data and simulations results.,2019,899,,,,
Query cost estimation through remote system contention states analysis over the Internet.,2004,899,,,,
Simulation and formal analysis of visual attention.,2009,899,,,,
An agent model for analysis of human performance quality.,2013,899,,,,
Personalized recommender systems integrating tags and item taxonomy.,2012,899,,,,
Query aspects approach to web search.,2016,899,,,,
Recognizing diseases from physiological time series data.,2018,899,,,,
Building up a class hierarchy with properties by refining and integrating Japanese Wikipedia Ontology and Japanese WordNet.,2014,899,,,,
Detecting cyberbullying in social networks using multi agent system.,2014,899,,,,
Multiple criteria programming models for VIP E Mail behavior analysis.,2010,899,,,,
Introducing communication in Dis POMDPs with locality of interaction.,2010,899,,,,
Introduction: A journal pivotal to the future of Web intelligence and agent systems.,2003,899,,,,
Multi domain strategy coordination approach for optimal resource usage in agent based filtering framework.,2006,899,,,,
Mining world knowledge for analysis of search engine content.,2007,899,,,,
The LighTS tuple space framework and its customization for context aware applications.,2007,899,,,,
