Journal Id,Year,Number of Papers published
1,2018,2
2,1994,1
2,1993,4
2,1991,3
2,1989,1
2,1995,1
2,1990,1
2,1988,1
3,1979,1
4,1990,2
5,1991,1
4,1991,1
4,1992,1
6,1991,53
7,1988,29
7,1987,20
6,1992,32
8,1987,6
8,1988,5
9,1981,3
6,1990,38
6,1989,34
7,1986,4
6,1999,1
10,1980,2
10,1973,2
10,1978,2
10,1979,2
10,1974,1
10,1975,1
8,1989,1
11,1998,30
11,1999,29
11,1996,45
11,2001,19
11,1994,18
11,2000,13
11,1997,27
11,1992,28
11,2002,23
11,2003,6
11,1993,24
11,1995,24
11,2004,6
11,2006,3
12,2012,1
13,1997,1
14,1971,3
10,1972,1
15,1995,1
14,1974,1
16,2011,1
17,1974,1
14,1969,1
18,1996,1
14,1981,1
16,2012,1
19,2019,78
19,2008,53
19,2012,59
19,2018,120
19,2010,61
19,2007,43
19,2015,103
19,2013,108
19,2011,60
19,2014,76
19,2016,112
19,2009,46
19,2017,115
20,2003,109
20,2018,133
20,2002,128
20,2013,112
20,2010,112
20,2009,114
20,2017,104
20,2007,195
20,2019,94
20,2014,131
20,2015,153
20,2011,113
20,2016,113
20,2001,89
20,2008,107
20,2004,90
20,2006,76
20,2005,69
20,2012,107
20,2000,73
21,2013,23
21,2012,32
21,2008,22
22,2019,23
22,2017,20
21,2005,16
21,2004,19
21,2011,24
22,2015,23
21,2010,24
22,2018,25
21,2003,18
21,2009,24
22,2016,21
21,2014,23
21,2006,24
21,2007,25
23,2017,104
23,2014,70
23,2013,57
23,2016,85
23,2015,77
23,2018,64
23,2019,36
24,2004,254
24,2006,124
24,2010,200
24,2005,222
24,2012,227
24,2003,137
24,2008,240
24,2015,214
24,2016,299
24,2018,333
24,2011,249
24,2013,242
24,2017,314
24,2009,204
24,2007,134
24,2019,316
24,2014,258
25,2018,134
25,2020,44
25,2019,182
25,2017,68
26,2015,12
26,2011,22
26,2008,21
26,2000,12
26,2010,13
26,2004,18
26,2009,26
26,2006,14
26,1999,18
26,2013,8
26,2012,20
26,2001,12
26,2007,16
26,2003,8
26,2002,5
27,2005,18
27,2017,12
27,2012,18
27,2015,28
27,2018,5
27,2009,17
27,2016,16
27,2013,19
27,2007,34
27,2003,20
27,2011,18
27,2008,24
27,2014,16
27,2019,1
27,2006,5
28,2017,26
28,2011,18
28,2013,17
28,2014,22
28,2015,24
28,2016,25
28,2006,20
28,2005,19
28,2019,12
28,2009,19
28,2007,21
28,2018,27
28,2012,17
28,2008,20
28,2010,16
29,2002,104
29,2003,112
29,2018,316
29,2013,178
29,2005,138
29,2014,180
29,2019,203
29,2006,143
29,2011,150
29,2016,206
29,2017,241
29,2004,152
29,2015,185
29,2012,152
29,2007,136
29,2010,155
29,2001,115
29,2009,142
29,2008,154
30,1999,94
30,1988,71
30,2013,100
30,2018,74
30,1992,114
30,1998,87
30,1993,100
30,2011,66
30,2010,45
30,2006,61
30,2019,44
30,2003,49
30,2017,77
30,2014,82
30,2016,74
30,2004,53
30,2000,71
30,1991,125
30,1990,97
30,2001,108
30,2008,49
30,1995,86
30,1996,80
30,2007,60
30,1987,34
30,1994,87
30,1997,66
30,2012,99
30,2002,64
30,1989,90
30,2005,62
30,2015,64
30,2009,51
31,2019,8
31,2013,27
31,2012,46
31,2010,39
31,2016,37
31,2017,28
31,2018,21
31,2007,17
31,2015,46
31,2011,36
31,2009,47
31,2008,16
31,2006,11
31,2014,22
32,2016,30
32,2018,43
32,2019,39
32,2015,29
32,2013,30
32,2012,25
32,2014,26
32,2017,35
32,2011,27
33,2014,47
33,2013,50
33,2010,45
33,2015,45
33,2012,40
33,2009,59
33,2019,48
33,2016,41
33,2017,43
33,2018,48
33,2011,49
34,2012,18
34,2011,19
34,2014,18
34,2010,20
34,2015,9
34,2013,20
34,2016,4
35,2018,39
35,2019,11
35,2014,18
35,2017,33
35,2015,29
35,2013,32
35,2016,35
35,2012,14
36,2005,17
36,2016,9
36,2007,28
36,2004,24
36,2008,25
36,2006,24
36,1999,13
36,2019,9
36,1998,19
36,1997,16
36,2010,21
36,2017,15
36,2012,34
36,2009,21
36,2013,43
36,2011,22
36,2015,21
36,2002,12
36,2018,17
36,2000,8
36,2014,18
36,2001,15
36,2003,11
37,2018,16
37,2019,9
37,2017,8
38,2001,41
38,1997,37
38,2002,32
38,2003,30
38,2012,26
38,2011,35
38,2007,30
38,2010,10
38,1996,41
38,1999,39
38,2013,36
38,2005,36
38,1995,37
38,2004,27
38,1998,43
38,2006,37
38,2000,29
38,2014,5
39,2010,56
39,2012,16
39,2019,29
39,2008,57
39,2017,21
39,2011,23
39,2006,13
39,2014,18
39,2018,32
39,2009,51
39,2007,51
39,2015,19
39,2016,21
39,2013,19
39,2005,12
40,2010,18
